,Date,Open,High,Low,Close,Adj Close,Volume
88,2019-04-11,268.3,270.5,265.6,268.42,268.42,9835900
89,2019-04-12,270.22,271.95,266.83,267.7,267.7,6746000
90,2019-04-15,268.63,268.88,258.63,266.38,266.38,10038600
91,2019-04-16,265.75,275.0,264.72,273.36,273.36,7272900
92,2019-04-17,274.75,274.79,268.54,271.23,271.23,5126500
93,2019-04-18,271.23,274.84,269.75,273.26,273.26,5876300
94,2019-04-22,269.0,269.68,262.48,262.75,262.75,12147100
95,2019-04-23,260.15,265.6,255.75,263.9,263.9,10943900
96,2019-04-24,263.85,265.32,258.0,258.66,258.66,10727500
97,2019-04-25,255.0,259.0,246.07,247.63,247.63,21849400
98,2019-04-26,246.5,246.68,231.13,235.14,235.14,22360700
99,2019-04-29,235.86,243.98,232.17,241.47,241.47,16714500
100,2019-04-30,242.06,244.21,237.0,238.69,238.69,9464600
101,2019-05-01,238.85,240.0,231.5,234.01,234.01,10704400
102,2019-05-02,245.52,247.13,237.72,244.1,244.1,18159300
103,2019-05-03,243.86,256.61,243.49,255.03,255.03,23706800
104,2019-05-06,250.02,258.35,248.5,255.34,255.34,10833900
105,2019-05-07,256.8,257.21,245.1,247.06,247.06,10131400
106,2019-05-08,246.94,250.6,244.2,244.84,244.84,6176400
107,2019-05-09,242.0,243.68,236.94,241.98,241.98,6711400
108,2019-05-10,239.75,241.99,236.02,239.52,239.52,7008300
109,2019-05-13,232.01,232.47,224.5,227.01,227.01,10834800
110,2019-05-14,229.3,234.5,228.0,232.31,232.31,7252400
111,2019-05-15,229.32,232.44,225.25,231.95,231.95,7296000
112,2019-05-16,229.49,231.0,226.5,228.33,228.33,7483300
113,2019-05-17,221.96,222.24,208.92,211.03,211.03,17786700
114,2019-05-20,202.8,206.0,195.25,205.36,205.36,20526200
115,2019-05-21,197.76,207.4,196.04,205.08,205.08,18003900
116,2019-05-22,199.1,203.94,191.78,192.73,192.73,18685200
117,2019-05-23,194.34,199.47,186.22,195.49,195.49,26547100
118,2019-05-24,199.83,199.98,188.75,190.63,190.63,14136600
119,2019-05-28,191.2,195.0,187.85,188.7,188.7,10312900
120,2019-05-29,187.1,192.39,185.04,189.86,189.86,11968600
121,2019-05-30,188.75,192.26,187.02,188.22,188.22,7926500
122,2019-05-31,185.1,189.92,184.1,185.16,185.16,10406700
123,2019-06-03,185.51,186.68,176.99,178.97,178.97,13064400
124,2019-06-04,181.1,193.98,179.61,193.6,193.6,13807500
125,2019-06-05,198.68,201.28,191.85,196.59,196.59,13510800
126,2019-06-06,204.44,211.0,201.8,205.95,205.95,20242200
127,2019-06-07,205.0,210.84,203.5,204.5,204.5,16003500
128,2019-06-10,210.25,216.94,209.01,212.88,212.88,10585000
129,2019-06-11,219.14,220.9,213.5,217.1,217.1,11653500
130,2019-06-12,222.95,223.38,209.0,209.26,209.26,15197500
131,2019-06-13,210.38,214.9,207.51,213.91,213.91,8168300
132,2019-06-14,211.25,216.65,210.4,214.92,214.92,7433400
133,2019-06-17,215.48,227.0,214.27,225.03,225.03,12316800
134,2019-06-18,228.72,234.74,222.56,224.74,224.74,12715800
135,2019-06-19,225.11,227.77,221.06,226.43,226.43,6575100
136,2019-06-20,223.0,226.9,216.35,219.62,219.62,11863500
137,2019-06-21,216.22,222.18,215.5,221.86,221.86,8202100
138,2019-06-24,223.24,225.86,221.02,223.64,223.64,5750800
139,2019-06-25,224.39,225.34,219.49,219.76,219.76,6182100
140,2019-06-26,220.31,227.23,218.1,219.27,219.27,8507200
141,2019-06-27,219.45,222.9,217.35,222.84,222.84,6339700
142,2019-06-28,220.99,225.17,220.8,223.46,223.46,6851400
143,2019-07-01,230.21,233.1,226.28,227.17,227.17,8213400
144,2019-07-02,228.89,229.15,222.22,224.55,224.55,9259000
145,2019-07-03,239.39,241.57,234.51,234.9,234.9,14201100
146,2019-07-05,234.57,235.45,230.8,233.1,233.1,7065700
147,2019-07-08,231.24,232.25,228.66,230.34,230.34,5880500
148,2019-07-09,228.97,231.0,227.28,230.06,230.06,6190800
149,2019-07-10,234.15,238.94,233.14,238.92,238.92,9145700
150,2019-07-11,238.14,241.5,235.8,238.6,238.6,7514400
151,2019-07-12,239.75,245.38,239.71,245.08,245.08,9200500
152,2019-07-15,248.0,254.42,244.86,253.5,253.5,11000100
153,2019-07-16,249.3,253.53,247.93,252.38,252.38,8149000
154,2019-07-17,255.67,258.31,253.35,254.86,254.86,9764700
155,2019-07-18,255.05,255.75,251.89,253.54,253.54,4758600
156,2019-07-19,255.69,259.96,254.62,258.18,258.18,7048400
157,2019-07-22,258.75,262.15,254.19,255.68,255.68,6842400
158,2019-07-23,256.71,260.48,254.5,260.17,260.17,5023100
159,2019-07-24,259.17,266.07,258.16,264.88,264.88,11072800
160,2019-07-25,233.5,234.5,225.55,228.82,228.82,22418300
161,2019-07-26,226.92,230.26,222.25,228.04,228.04,10027700
162,2019-07-29,227.09,235.94,226.03,235.77,235.77,9273300
163,2019-07-30,232.9,243.36,232.18,242.26,242.26,8109000
164,2019-07-31,243.0,246.68,236.65,241.61,241.61,9178200
165,2019-08-01,242.65,244.51,231.77,233.85,233.85,8259500
166,2019-08-02,231.35,236.27,229.23,234.34,234.34,6136500
167,2019-08-05,229.6,231.37,225.78,228.32,228.32,7028300
168,2019-08-06,231.88,232.5,225.75,230.75,230.75,5564200
169,2019-08-07,226.5,233.57,225.8,233.42,233.42,4776500
170,2019-08-08,234.45,239.8,232.65,238.3,238.3,5274300
171,2019-08-09,236.05,238.96,233.81,235.01,235.01,3898200
172,2019-08-12,232.99,235.77,228.75,229.01,229.01,4663900
173,2019-08-13,228.81,236.0,227.55,235.0,235.0,4848100
174,2019-08-14,231.21,231.5,216.69,219.62,219.62,9562600
175,2019-08-15,220.86,221.56,211.55,215.64,215.64,8159600
176,2019-08-16,216.66,222.24,216.02,219.94,219.94,5098500
177,2019-08-19,224.21,227.83,221.7,226.83,226.83,5309600
178,2019-08-20,227.62,229.09,224.54,225.86,225.86,4125200
179,2019-08-21,222.01,223.22,217.6,220.83,220.83,7794300
180,2019-08-22,222.8,225.4,218.22,222.15,222.15,6559000
181,2019-08-23,219.97,221.17,211.0,211.4,211.4,8538600
182,2019-08-26,213.6,215.02,211.54,215.0,215.0,5051900
183,2019-08-27,215.74,218.8,212.03,214.08,214.08,5416200
184,2019-08-28,213.69,217.25,212.31,215.59,215.59,3225500
185,2019-08-29,219.0,223.4,218.0,221.71,221.71,5179500
186,2019-08-30,229.15,232.44,224.21,225.61,225.61,9320600
187,2019-09-03,224.08,228.95,223.16,225.01,225.01,5354100
188,2019-09-04,226.89,228.46,219.21,220.68,220.68,5761000
189,2019-09-05,222.5,229.8,220.85,229.58,229.58,7395300
190,2019-09-06,227.2,229.64,225.17,227.45,227.45,4189400
191,2019-09-09,230.0,233.76,229.23,231.79,231.79,4802700
192,2019-09-10,230.8,235.54,228.94,235.54,235.54,4883700
193,2019-09-11,237.38,248.17,236.0,247.1,247.1,10042800
194,2019-09-12,247.7,253.5,244.4,245.87,245.87,8581200
195,2019-09-13,246.96,248.45,244.87,245.2,245.2,5313100
