Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,314.880005,342.890015,290.760010,341.010010,341.010010,148046300
2017-06-01,344.000000,386.989990,334.209991,361.609985,361.609985,185951100
2017-07-01,370.239990,371.350006,303.130005,323.470001,323.470001,181640000
2017-08-01,323.000000,370.000000,311.220001,355.899994,355.899994,136941600
2017-09-01,356.119995,389.609985,335.399994,341.100006,341.100006,111512700
2017-10-01,342.519989,363.000000,316.660004,331.529999,331.529999,123036700
2017-11-01,332.250000,332.609985,292.630005,308.850006,308.850006,148812800
2017-12-01,305.440002,347.440002,300.000000,311.350006,311.350006,109884700
2018-01-01,312.000000,360.500000,305.679993,354.309998,354.309998,124271500
2018-02-01,351.000000,359.989990,294.760010,343.059998,343.059998,109190000
2018-03-01,345.010010,348.670013,248.210007,266.130005,266.130005,157268500
2018-04-01,256.260010,309.500000,244.589996,293.899994,293.899994,190310800
2018-05-01,293.510010,312.989990,273.420013,284.730011,284.730011,155578100
2018-06-01,285.859985,373.730011,283.839996,342.950012,342.950012,213425100
2018-07-01,360.070007,364.779999,286.130005,298.140015,298.140015,172328200
2018-08-01,297.989990,387.459991,288.200012,301.660004,301.660004,277360200
2018-09-01,296.940002,314.959991,252.250000,264.769989,264.769989,196075400
2018-10-01,305.769989,347.160004,247.770004,337.320007,337.320007,286360700
2018-11-01,338.260010,366.750000,325.000000,350.480011,350.480011,133019100
2018-12-01,360.000000,379.489990,294.089996,332.799988,332.799988,146451200
2019-01-01,306.100006,352.000000,279.279999,307.019989,307.019989,175652100
2019-02-01,305.420013,324.239990,288.769989,319.880005,319.880005,128550100
2019-03-01,306.940002,307.130005,254.460007,279.859985,279.859985,213793500
2019-04-01,282.619995,296.170013,231.130005,238.690002,238.690002,230747300
2019-05-01,238.850006,258.350006,184.100006,185.160004,185.160004,282598800
2019-06-01,185.509995,234.740005,176.990005,223.460007,223.460007,214970600
2019-07-01,230.210007,266.070007,222.220001,241.610001,241.610001,199336700
2019-08-01,242.649994,244.509995,211.000000,225.610001,225.610001,133790600
2019-09-01,224.080002,253.500000,218.360001,240.869995,240.869995,135775300
2019-10-01,241.500000,340.839996,224.279999,314.920013,314.920013,227982600
2019-11-01,316.320007,361.200012,309.260010,331.290009,331.290009,155305200
2019-11-27,331.119995,333.915894,328.570007,331.290009,331.290009,5526462
